the KA Global Club Rating 4Q 2025;;;;;;;;
;Club;Country;Conf/Fed Continent;Class;;Coef;+/- Place;
83;TSG 1899 Hoffenheim;GER;UEFA;Master Standard;★★;0,908;+68;
84;Fulham;ENG;UEFA;Master Standard;★★;0,902;-8;
85;River Plate;ARG;CONMEBOL;Upper Athletic;★☆;0,895;-37;
86;US Sassuolo Calcio;ITA;UEFA;Upper Athletic;★☆;0,891;+62;
87;Getafe CF;ESP;UEFA;Upper Athletic;★☆;0,889;+12;
88;Los Angeles Galaxy;USA;CONCACAF;Upper Athletic;★☆;0,887;+1;
89;Brighton Hove;ENG;UEFA;Upper Athletic;★☆;0,883;-29;
90;Osasuna;ESP;UEFA;Upper Athletic;★☆;0,881;-13;
91;América;MEX;CONCACAF;Upper Athletic;★☆;0,880;-3;
92;Nottingham Forest;ENG;UEFA;Upper Athletic;★☆;0,879;-34;
93;Stade Rennais;FRA;UEFA;Upper Athletic;★☆;0,879;+49;
94;Boca Juniors;ARG;CONMEBOL;Upper Athletic;★☆;0,877;-3;
95;Elche CF;ESP;UEFA;Upper Athletic;★☆;0,876;+79;
96;Viktoria Plzeň;CZE;UEFA;Upper Athletic;★☆;0,875;+22;
97;Union Berlin;GER;UEFA;Upper Athletic;★☆;0,874;+41;
98;AFC Bournemouth;ENG;UEFA;Upper Athletic;★☆;0,871;-32;
99;Udinese Calcio;ITA;UEFA;Upper Athletic;★☆;0,871;+6;
100;RCD Mallorca;ESP;UEFA;Upper Athletic;★☆;0,871;-18;
101;Racing Strasbourg;FRA;UEFA;Upper Athletic;★☆;0,865;+1;
102;SC Freiburg;GER;UEFA;Upper Athletic;★☆;0,865;-24;
103;Philadelphia Union;USA;CONCACAF;Upper Athletic;★☆;0,863;-22;
104;Pumas UNAM;MEX;CONCACAF;Upper Athletic;★☆;0,862;+7;
105;Celtic FC;SCO;UEFA;Upper Athletic;★☆;0,860;+31;
106;Slavia Praha;CZE;UEFA;Upper Athletic;★☆;0,860;+27;
107;Stade Brest;FRA;UEFA;Upper Athletic;★☆;0,860;+13;
108;Alavés;ESP;UEFA;Upper Athletic;★☆;0,860;+9;
109;NEC;NED;UEFA;Upper Athletic;★☆;0,860;+168;
110;Leeds Utd;ENG;UEFA;Upper Athletic;★☆;0,859;+15;
111;FC Famalicão;POR;UEFA;Upper Athletic;★☆;0,857;+8;
112;Toulouse FC;FRA;UEFA;Upper Athletic;★☆;0,856;+15;
113;Torino FC;ITA;UEFA;Upper Athletic;★☆;0,853;-16;
114;Werder Bremen;GER;UEFA;Upper Athletic;★☆;0,852;-19;
115;Rayo Vallecano;ESP;UEFA;Upper Athletic;★☆;0,851;-41;
116;Vitória SC;POR;UEFA;Upper Athletic;★☆;0,846;-7;
117;Dinamo Zagreb;CRO;UEFA;Upper Athletic;★☆;0,845;-31;
118;West Ham United FC;ENG;UEFA;Upper Athletic;★☆;0,843;-28;
119;Internacional Porto Alegre;BRA;CONMEBOL;Upper Athletic;★☆;0,843;-7;
120;Cagliari Calcio;ITA;UEFA;Upper Athletic;★☆;0,843;+8;
121;Shakhtar Donetsk;UKR;UEFA;Upper Athletic;★☆;0,841;+16;
